,id,Date,mood,arousal,valence,activity,screentime (s),other (s),travel (s),weather (s),buu,coso,enga,fiof,teca
862,AS14.24,2014-05-24,7.2,0.0,0.8,0.011447603234842322,1551.6969993114476,68.185,,,322.09200000000004,896.684,,,
863,AS14.24,2014-05-25,7.0,0.25,1.0,0.04596280602636538,6859.74700021744,48.40200000000001,,,1230.517,894.8849999999999,,,3.0
864,AS14.24,2014-05-26,7.0,0.8,1.0,0.0027354336043360432,2361.5380012989044,61.729,,,565.9789999999998,1674.314,,,2.0
865,AS14.24,2014-05-27,6.2,0.5,0.6666666666666666,0.06439944767151781,3875.860000848766,55.153999999999996,,,1172.0749999999998,1663.0069999999998,,,4.0
866,AS14.24,2014-05-28,6.6,0.0,0.5,0.09822330765912596,10057.185000658033,66.32000000000001,544.4879999999999,,2055.8279999999995,2407.8289999999997,,,12.0
867,AS14.24,2014-05-29,7.0,-0.4,0.8,0.018571816937442157,4196.082999229433,50.695,,,2042.371,3119.231999999999,,,
868,AS14.24,2014-05-30,7.4,0.2,1.2,0.03568424788578982,5724.52500128746,45.190999999999995,,,812.1549999999999,3990.8019999999997,,,12.0
869,AS14.24,2014-05-31,7.0,1.0,1.0,0.21251956201963162,1705.0779998302464,7.019,,,1063.1150000000005,624.496,,,
870,AS14.24,2014-06-01,6.833333333333333,-1.0,0.6666666666666666,0.04736275178537994,5012.92099881172,81.069,,,1593.2899999999993,3069.282,,,5.0
871,AS14.24,2014-06-02,6.75,0.3333333333333333,1.0,0.03904773900723553,4468.588999986648,22.127,,,979.9189999999996,3269.8550000000005,212.05,,1.0
872,AS14.24,2014-06-03,7.8,0.4,1.0,0.09147694314185693,6519.175999641416,38.605000000000004,,,1591.8789999999997,4011.863,,,10.0
873,AS14.24,2014-06-04,7.0,0.5,1.0,0.04638485469545906,5223.861999511719,38.774,,,704.66,4527.960999999999,,,2.0
874,AS14.24,2014-06-05,7.0,0.0,1.0,0.1523427216624798,2371.5889992713933,47.36,225.737,,1749.2770000000003,1130.785,,,11.0
875,AS14.24,2014-06-06,7.5,0.5,1.0,0.18947597457214285,2733.3319997787476,36.414,,,947.9700000000001,1710.9240000000002,,,16.0
876,AS14.24,2014-06-07,8.0,-1.0,,0.08189323794216778,5530.37799930573,6.2139999999999995,,,5027.498,842.8149999999999,,,2.0
877,AS14.24,2014-06-08,6.5,-1.5,1.0,0.07951018024032033,1131.197999477387,18.069000000000003,,,351.389,566.275,,,
878,AS14.25,2014-04-08,8.0,0.5,1.0,0.1814892623716153,8058.661999702452,223.067,68.55099999999999,13.176,1963.8739999999998,6532.674999999996,162.551,348.15599999999995,8.0
879,AS14.25,2014-04-09,7.4,0.0,0.2,0.10126488095238095,9829.376000642775,370.1,131.47,51.726000000000006,1741.9679999999994,5817.724000000001,1591.5079999999998,124.362,11.0
880,AS14.25,2014-04-10,6.5,0.25,0.5,0.14313397233893554,6600.758999347689,316.397,94.007,21.103,2422.841999999999,5149.73,57.404,74.541,1.0
881,AS14.25,2014-04-11,7.75,-0.25,0.5,0.15529914529914535,6472.98200058937,68.435,,,11468.3,6582.261999999999,40.733000000000004,1.025,10.0
882,AS14.25,2014-04-12,7.0,-0.2,0.6,0.04455739111590672,1214.8420004844672,82.652,,,920.293,1132.946,,20.135,4.0
883,AS14.25,2014-04-13,6.6,-0.4,0.4,0.038610440461819405,5777.400000095364,89.64100000000002,,53.660000000000004,654.6440000000001,4649.260999999999,275.758,54.747,4.0
884,AS14.25,2014-04-14,6.4,0.6,0.2,0.09109605531851882,7802.634999036789,132.742,,7.031000000000001,1398.8890000000006,6263.128000000001,,,8.0
885,AS14.25,2014-04-15,6.5,-0.25,0.0,0.08074791762574517,4465.848001956941,215.80599999999995,86.227,33.173,1238.695,2891.855,,,3.0
886,AS14.25,2014-04-16,7.2,0.2,0.6,0.10531602561905302,7550.633999586105,283.215,22.274,5.033,1166.3680000000004,5848.130000000002,60.43899999999999,164.333,9.0
887,AS14.25,2014-04-17,6.5,0.0,0.0,0.12178447758220236,17583.15700149536,119.726,185.435,,1823.5989999999997,15135.772999999997,,404.33200000000005,3.0
888,AS14.25,2014-04-18,6.25,-0.25,0.0,0.07372682037592555,11757.935998916622,228.33499999999998,157.3,,3726.789999999998,8601.336000000003,10.035,,18.0
889,AS14.25,2014-04-19,7.5,-0.75,0.0,0.15611230462327638,6101.409001350405,646.583,,,627.5510000000002,4658.9090000000015,142.37400000000002,25.150000000000002,6.0
890,AS14.25,2014-04-20,6.8,0.0,0.0,0.02763157894736842,6041.11500096321,126.13999999999999,37.179,52.599000000000004,1530.1090000000002,4231.415,62.141,,3.0
891,AS14.25,2014-04-21,7.4,-0.4,0.8,0.09062499999999996,9379.375999927523,190.28400000000002,710.2340000000002,51.55500000000001,1965.809,6459.715999999999,327.173,,16.0
892,AS14.25,2014-04-22,8.25,0.25,1.0,0.12770165179024576,11491.93100047112,227.81899999999996,45.257,,5285.821000000001,5993.862999999999,18.07,90.801,9.0
893,AS14.25,2014-04-23,6.5,-0.5,0.0,0.07593836088154272,8629.494999408722,141.41799999999998,,9.127,1844.4720000000007,6624.881,,62.699,8.0
