Date;mood
19-04-14;8
19-04-14;7.5
19-04-14;6.75
19-04-14;7
19-04-14;7.8
19-04-14;7.8
19-04-14;766.666.666.666.667
20-04-14;7.25
20-04-14;5
20-04-14;7.5
20-04-14;7.2
20-04-14;8.2
20-04-14;3
20-04-14;6.4
20-04-14;6.25
20-04-14;6.4
20-04-14;6.6
20-04-14;7.5
20-04-14;7
20-04-14;7
20-04-14;7.2
20-04-14;7.6
20-04-14;7.6
20-04-14;7.75
20-04-14;7.8
20-04-14;6.8
20-04-14;8
20-04-14;7.2
20-04-14;7.8
20-04-14;7.5
20-04-14;7.75
20-04-14;8
20-04-14;7.4
21-04-14;7.6
21-04-14;5.5
21-04-14;7.4
21-04-14;7.2
21-04-14;7
21-04-14;6.6
21-04-14;6.4
21-04-14;6.5
21-04-14;6
21-04-14;7.4
21-04-14;7
21-04-14;7.2
21-04-14;7.25
21-04-14;7.4
21-04-14;6.4
21-04-14;7.4
21-04-14;7.2
21-04-14;7.5
21-04-14;7.4
21-04-14;6.4
21-04-14;6.8
21-04-14;8
21-04-14;7.2
21-04-14;7.8
21-04-14;6.4
21-04-14;7
21-04-14;7.2
22-04-14;7.4
22-04-14;566.666.666.666.667
22-04-14;7.6
22-04-14;7.2
22-04-14;6.6
22-04-14;6
22-04-14;6
22-04-14;6.6
22-04-14;6.5
22-04-14;5.75
22-04-14;7
22-04-14;7
22-04-14;6.6
22-04-14;6.6
22-04-14;6.8
22-04-14;6.4
22-04-14;6.2
22-04-14;7.2
22-04-14;8.25
22-04-14;7.25
22-04-14;7.8
22-04-14;7.25
22-04-14;6.4
22-04-14;8
22-04-14;7
22-04-14;6.2
23-04-14;7.6
23-04-14;5.5
23-04-14;7
23-04-14;7.2
23-04-14;7
23-04-14;6
23-04-14;5.6
23-04-14;633.333.333.333.333
23-04-14;5.8
23-04-14;7.4
23-04-14;7
23-04-14;7
23-04-14;7.25
23-04-14;7.25
23-04-14;6
23-04-14;7
23-04-14;7
23-04-14;7.5
23-04-14;6.5
23-04-14;6.2
23-04-14;8
23-04-14;7
23-04-14;7.6
23-04-14;7.6
23-04-14;7
23-04-14;7
23-04-14;5.2
24-04-14;7.6
24-04-14;7
24-04-14;7.4
24-04-14;7.2
24-04-14;7.75
24-04-14;5.6
24-04-14;666.666.666.666.667
24-04-14;7.2
24-04-14;6.6
24-04-14;766.666.666.666.667
24-04-14;733.333.333.333.333
24-04-14;7
24-04-14;5.4
24-04-14;7.2
24-04-14;6.6
24-04-14;7
24-04-14;7.4
24-04-14;6.8
24-04-14;6
24-04-14;5.8
24-04-14;7.6
24-04-14;8
24-04-14;7.8
24-04-14;8.2
24-04-14;6.5
24-04-14;8
24-04-14;7
25-04-14;7.2
25-04-14;9
25-04-14;7.5
25-04-14;7.2
25-04-14;6.4
25-04-14;333.333.333.333.333
25-04-14;633.333.333.333.333
25-04-14;7.25
25-04-14;5.6
25-04-14;7.75
25-04-14;8
25-04-14;7
25-04-14;7.2
25-04-14;7.2
25-04-14;7.25
25-04-14;7
25-04-14;7.8
25-04-14;6.2
25-04-14;6.25
25-04-14;6.6
25-04-14;7.6
25-04-14;7
25-04-14;7.5
25-04-14;7.5
25-04-14;7
25-04-14;8
25-04-14;8.4
26-04-14;7.6
26-04-14;7.5
26-04-14;7.8
26-04-14;7.5
26-04-14;5.4
26-04-14;6
26-04-14;8
26-04-14;7
26-04-14;8.8
26-04-14;8
26-04-14;6.2
26-04-14;6.75
26-04-14;8
26-04-14;7.75
26-04-14;7
26-04-14;7.5
26-04-14;7.6
26-04-14;7
26-04-14;8
26-04-14;933.333.333.333.333
26-04-14;8
26-04-14;6
26-04-14;7.8
26-04-14;7
26-04-14;7.6
27-04-14;7.5
27-04-14;7.6
27-04-14;7.4
27-04-14;7.2
27-04-14;6
27-04-14;6
27-04-14;6.25
27-04-14;6
27-04-14;8
27-04-14;766.666.666.666.667
27-04-14;7
27-04-14;7.2
27-04-14;7.2
27-04-14;633.333.333.333.333
27-04-14;6.8
27-04-14;7
27-04-14;7
27-04-14;7.4
27-04-14;7.8
27-04-14;8
27-04-14;7.25
27-04-14;6.5
27-04-14;7.8
27-04-14;7.4
27-04-14;7
27-04-14;6.2
28-04-14;7.6
28-04-14;7
28-04-14;7
28-04-14;6.75
28-04-14;6.75
28-04-14;5.8
28-04-14;6.6
28-04-14;6.6
28-04-14;816.666.666.666.667
28-04-14;7
28-04-14;8
28-04-14;6.75
28-04-14;6.4
28-04-14;6.8
28-04-14;7.6
28-04-14;6.8
28-04-14;7.2
28-04-14;8
28-04-14;7.8
28-04-14;7.5
28-04-14;7
28-04-14;8
28-04-14;6.8
28-04-14;7.5
28-04-14;6.75
29-04-14;7
29-04-14;7.2
29-04-14;6.8
29-04-14;7.25
29-04-14;5
29-04-14;5.75
29-04-14;6.75
29-04-14;6
29-04-14;8.5
29-04-14;7
29-04-14;7
29-04-14;7
29-04-14;7.2
29-04-14;7.25
29-04-14;7.4
29-04-14;6
29-04-14;6
29-04-14;6.6
29-04-14;7.2
29-04-14;7
29-04-14;7.6
29-04-14;8
29-04-14;7
29-04-14;8
29-04-14;6.2
30-04-14;7.8
30-04-14;7
